brand,total_tweets,customer_tweets,support_tweets,unique_conversations,usable_conversations,resolved_conversations,avg_turns,median_turns,pct_with_support_response,pct_resolved,usable_customer_msgs,missing_text,missing_in_reply_to,duplicate_tweet_ids
AmazonHelp,373208,203114,170094,82498,82498,8399,4.52,3.0,100.0,10.2,203114,0,81844,0
AppleSupport,238406,131500,106906,80639,80639,556,2.96,2.0,100.0,0.7,131500,0,80314,0
Uber_Support,128298,71992,56306,41902,41902,867,3.06,2.0,100.0,2.1,71992,0,41763,0
SpotifyCares,91701,48452,43249,28250,28247,1202,3.25,2.0,100.0,4.3,48452,0,28181,0
AmericanAir,86301,49423,36878,26202,26202,547,3.29,2.0,100.0,2.1,49423,0,26065,0
Delta,87131,44824,42307,26052,26050,3454,3.34,2.0,100.0,13.3,44824,0,25958,0
comcastcares,71803,38906,32897,23901,23901,2375,3.0,2.0,100.0,9.9,38906,0,23808,0
TMobileHelp,79921,45554,34367,22668,22668,680,3.53,2.0,100.0,3.0,45554,0,22480,0
SouthwestAir,64097,35057,29040,21524,21522,595,2.98,2.0,100.0,2.8,35057,0,21471,0
Ask_Spectrum,58241,32420,25821,18435,18434,671,3.16,2.0,100.0,3.6,32420,0,18340,0
Tesco,72114,33530,38584,16655,16655,6493,4.33,4.0,100.0,39.0,33530,0,16588,0
British_Airways,60195,30932,29263,16371,16371,3269,3.68,3.0,100.0,20.0,30932,0,16332,0
UPSHelp,42012,24366,17646,15258,15258,276,2.75,2.0,100.0,1.8,24366,0,15206,0
hulu_support,47910,26049,21861,14905,14902,267,3.21,2.0,100.0,1.8,26049,0,14877,0
VirginTrains,65550,37687,27863,14825,14823,893,4.42,3.0,100.0,6.0,37687,0,14735,0
ChipotleTweets,41836,23082,18754,14391,14391,145,2.91,2.0,100.0,1.0,23082,0,14352,0
XboxSupport,55735,31178,24557,13397,13377,2178,4.16,3.0,99.9,16.3,31178,0,13326,0
sprintcare,50683,28255,22428,13371,13371,1222,3.79,2.0,100.0,9.1,28255,0,13258,0
AskPlayStation,42883,23797,19086,12524,12524,343,3.42,2.0,100.0,2.7,23797,0,12496,0
AskTarget,30461,17269,13192,11116,11116,87,2.74,2.0,100.0,0.8,17269,0,11090,0
ATVIAssist,47805,30184,17621,11088,11088,437,4.31,2.0,100.0,3.9,30184,0,11017,0
sainsburys,41959,22495,19464,10837,10837,989,3.87,3.0,100.0,9.1,22495,0,10799,0
GWRHelp,46369,27036,19333,10674,10674,490,4.34,3.0,100.0,4.6,27036,0,10622,0
