True \ Pred,REFUND_OR_COMPENSATION,PAYMENT_OR_CHARGE_DISPUTE,SPECIAL_ASSISTANCE,CANCEL_OR_CHANGE_FLIGHT,BAGGAGE_ISSUE,CHECKIN_OR_BOARDING,SEAT_OR_UPGRADE,SKYMILES_OR_LOYALTY,SCHEDULE_OR_BOOKING_INQUIRY,FLIGHT_STATUS_OR_DELAY,COMPLAINT_OR_FEEDBACK,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT
REFUND_OR_COMPENSATION,5,1,0,0,1,0,0,0,1,0,0,0
PAYMENT_OR_CHARGE_DISPUTE,0,2,0,0,0,0,0,0,0,1,0,0
SPECIAL_ASSISTANCE,0,0,2,0,0,0,0,0,0,3,0,0
CANCEL_OR_CHANGE_FLIGHT,1,0,0,1,1,0,0,0,3,4,0,0
BAGGAGE_ISSUE,0,0,0,0,4,0,0,0,0,0,0,0
CHECKIN_OR_BOARDING,0,0,0,0,3,8,0,0,0,1,0,0
SEAT_OR_UPGRADE,0,3,0,0,1,0,3,1,0,2,0,0
SKYMILES_OR_LOYALTY,0,1,0,0,0,0,4,7,1,0,0,0
SCHEDULE_OR_BOOKING_INQUIRY,0,1,0,1,2,0,0,1,4,3,1,0
FLIGHT_STATUS_OR_DELAY,0,1,1,1,1,6,0,2,5,14,0,0
COMPLAINT_OR_FEEDBACK,0,0,0,1,2,3,8,2,4,23,19,0
AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,0,0,1,0,0,1,0,0,8,4,9,0
