Intent,Golden Support,Precision,Recall,F1,Status
REFUND_OR_COMPENSATION,8,0.8333,0.6250,0.7143,Evaluated
PAYMENT_OR_CHARGE_DISPUTE,3,0.2222,0.6667,0.3333,Evaluated
SPECIAL_ASSISTANCE,5,0.5000,0.4000,0.4444,Evaluated
CANCEL_OR_CHANGE_FLIGHT,10,0.2500,0.1000,0.1429,Evaluated
BAGGAGE_ISSUE,6,0.2667,0.6667,0.3810,Evaluated
CHECKIN_OR_BOARDING,12,0.4444,0.6667,0.5333,Evaluated
SEAT_OR_UPGRADE,10,0.2000,0.3000,0.2400,Evaluated
ACCOUNT_ACCESS,0,—,—,—,Not evaluated
SKYMILES_OR_LOYALTY,15,0.5385,0.4667,0.5000,Evaluated
SCHEDULE_OR_BOOKING_INQUIRY,14,0.1538,0.2857,0.2000,Evaluated
FLIGHT_STATUS_OR_DELAY,31,0.2545,0.4516,0.3256,Evaluated
COMPLAINT_OR_FEEDBACK,62,0.6552,0.3065,0.4176,Evaluated
AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,24,0.0000,0.0000,0.0000,Evaluated
