intent,count,percentage,high_confidence,medium_confidence,low_confidence,rule_agreement_count,rule_disagreement_count
ACCOUNT_ACCESS,0,0.0,0,0,0,0,0
AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,24,12.0,0,0,24,18,6
BAGGAGE_ISSUE,6,3.0,6,0,0,6,0
CANCEL_OR_CHANGE_FLIGHT,10,5.0,10,0,0,7,3
CHECKIN_OR_BOARDING,12,6.0,12,0,0,10,2
COMPLAINT_OR_FEEDBACK,62,31.0,55,5,2,53,9
FLIGHT_STATUS_OR_DELAY,31,15.5,29,2,0,28,3
PAYMENT_OR_CHARGE_DISPUTE,3,1.5,3,0,0,2,1
REFUND_OR_COMPENSATION,8,4.0,8,0,0,6,2
SCHEDULE_OR_BOOKING_INQUIRY,14,7.0,13,1,0,6,8
SEAT_OR_UPGRADE,10,5.0,10,0,0,9,1
SKYMILES_OR_LOYALTY,15,7.5,15,0,0,15,0
SPECIAL_ASSISTANCE,5,2.5,3,2,0,4,1
