True \ Pred,REFUND_OR_COMPENSATION,PAYMENT_OR_CHARGE_DISPUTE,SPECIAL_ASSISTANCE,CANCEL_OR_CHANGE_FLIGHT,BAGGAGE_ISSUE,CHECKIN_OR_BOARDING,SEAT_OR_UPGRADE,SKYMILES_OR_LOYALTY,SCHEDULE_OR_BOOKING_INQUIRY,FLIGHT_STATUS_OR_DELAY,COMPLAINT_OR_FEEDBACK,AMBIGUOUS_OR_INSUFFICIENT_CONTEXT
REFUND_OR_COMPENSATION,4,0,0,0,0,0,0,0,1,0,3,0
PAYMENT_OR_CHARGE_DISPUTE,0,1,0,0,0,0,0,0,0,0,1,1
SPECIAL_ASSISTANCE,0,0,0,0,0,1,0,0,0,0,2,2
CANCEL_OR_CHANGE_FLIGHT,0,0,0,4,0,0,0,0,0,1,5,0
BAGGAGE_ISSUE,0,0,0,0,5,0,0,0,0,0,0,0
CHECKIN_OR_BOARDING,0,0,0,0,0,7,0,0,0,0,5,0
SEAT_OR_UPGRADE,0,0,0,0,0,0,2,0,0,1,6,1
SKYMILES_OR_LOYALTY,0,0,0,0,0,0,1,9,0,0,3,2
SCHEDULE_OR_BOOKING_INQUIRY,0,0,0,0,0,1,0,0,8,0,2,3
FLIGHT_STATUS_OR_DELAY,0,0,0,0,0,0,0,0,1,23,6,1
COMPLAINT_OR_FEEDBACK,0,0,0,0,0,0,0,0,0,0,58,4
AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,0,0,0,0,0,0,0,0,1,2,7,14
