Intent,Golden Support,Precision,Recall,F1,Status
REFUND_OR_COMPENSATION,8,1.0000,0.5000,0.6667,Evaluated
PAYMENT_OR_CHARGE_DISPUTE,3,1.0000,0.3333,0.5000,Evaluated
SPECIAL_ASSISTANCE,5,0.0000,0.0000,0.0000,Evaluated
CANCEL_OR_CHANGE_FLIGHT,10,1.0000,0.4000,0.5714,Evaluated
BAGGAGE_ISSUE,6,1.0000,0.8333,0.9091,Evaluated
CHECKIN_OR_BOARDING,12,0.7778,0.5833,0.6667,Evaluated
SEAT_OR_UPGRADE,10,0.6667,0.2000,0.3077,Evaluated
ACCOUNT_ACCESS,0,—,—,—,Not evaluated
SKYMILES_OR_LOYALTY,15,1.0000,0.6000,0.7500,Evaluated
SCHEDULE_OR_BOOKING_INQUIRY,14,0.7273,0.5714,0.6400,Evaluated
FLIGHT_STATUS_OR_DELAY,31,0.8519,0.7419,0.7931,Evaluated
COMPLAINT_OR_FEEDBACK,62,0.5918,0.9355,0.7250,Evaluated
AMBIGUOUS_OR_INSUFFICIENT_CONTEXT,24,0.5000,0.5833,0.5385,Evaluated
